"case_id";"case_id_length";"duration_dd"
"702190969D";"6";"198.96"
"8672455045";"11";"198.96"
"84421022F5";"5";"199.0"
"717298674C";"5";"200.04"
"7469196F83";"5";"200.04"
"887792684B";"5";"200.04"
"8553609571";"5";"200.96"
"8554321102";"5";"200.96"
"7622518CD5";"5";"201.0"
"71005138AF";"5";"201.04"
"713557813F";"5";"201.04"
"8329007203";"5";"201.04"
"71802902C1";"6";"201.04"
"81523235C2";"6";"201.96"
"9186285A30";"5";"202.04"
"7976200875";"5";"203.04"
"78157332E8";"6";"203.96"
"715045454E";"5";"204.04"
"7309996F84";"5";"204.96"
"73100067C7";"5";"204.96"
"7021887476";"6";"204.96"
"8351816896";"8";"205.04"
"77679646AD";"5";"205.96"
"764683932B";"5";"206.0"
"78612837F3";"5";"206.0"
"6717278928";"5";"206.04"
"797020660E";"5";"206.04"
"9185031F59";"5";"208.04"
"8995796DB0";"5";"208.96"
"8472225D3B";"6";"209.0"
"8230955EED";"5";"209.96"
"814914465D";"6";"209.96"
"6647464CD1";"5";"210.04"
"7133422E0B";"6";"210.04"
"662781237C";"5";"210.96"
"8631365BB7";"5";"210.96"
"7257510EB3";"6";"210.96"
"87836880A5";"5";"211.04"
"8855418A1A";"5";"213.04"
"6702362417";"6";"213.04"
"8239329D5F";"6";"213.96"
"6731977B27";"5";"214.04"
"6732232D95";"5";"214.04"
"8736194759";"5";"214.04"
"6665633E59";"7";"214.04"
"6797369658";"7";"215.0"
"7179333D00";"5";"215.04"
"83256732B5";"5";"215.04"
"7788336230";"5";"215.96"
"9136659187";"5";"215.96"
"7732634371";"6";"215.96"
"8548054D4D";"6";"215.96"
"9138142954";"6";"215.96"
"8812631D26";"5";"216.04"
"88617703F2";"5";"216.96"
"829364545D";"5";"217.04"
"7976252360";"7";"217.04"
"9095975C04";"7";"217.04"
"7291299A45";"5";"217.96"
"74312827E6";"5";"217.96"
"6827720CC6";"5";"218.0"
"6665502242";"5";"218.04"
"7520649BE0";"5";"218.04"
"831642315E";"5";"218.04"
"83810651A2";"5";"218.04"
"8963436D5F";"5";"219.0"
"7544670AA2";"5";"219.04"
"838288605F";"5";"219.04"
"7213034FF1";"6";"219.04"
"7286281D48";"5";"219.96"
"82324321CD";"5";"219.96"
"90368948D6";"8";"220.96"
"7498789471";"5";"222.04"
"7502576991";"5";"222.04"
"7517132590";"5";"222.04"
"8409688613";"7";"222.04"
"800473544A";"11";"222.04"
"7247079EC4";"8";"223.0"
"7153278FBB";"5";"223.04"
"743779783F";"5";"223.04"
"918205035D";"5";"223.04"
"927143348C";"5";"223.04"
"7119153EE4";"6";"223.04"
"84831325FB";"5";"223.96"
"67402072C6";"5";"224.04"
"8850029AF5";"5";"224.04"
"7178692C08";"5";"225.0"
"85164572A5";"5";"225.96"
"8474397D9F";"5";"226.0"
"849492490B";"5";"226.0"
"8488503645";"5";"227.0"
"70336618AB";"5";"227.04"
"71205049C7";"5";"227.04"
"83121180C5";"6";"227.04"
"6662497274";"5";"228.04"
"667582590F";"5";"228.04"
"6660883E86";"8";"228.04"
"66957660E7";"8";"228.04"
"669662883D";"9";"228.04"
"9143016F79";"5";"229.0"
"763521176F";"5";"230.0"
"82886580F7";"6";"230.04"
"9101870CB9";"5";"230.96"
"7479797BBD";"9";"232.04"
"74511302FE";"5";"233.04"
"70749701F1";"5";"234.04"
"7075023DAA";"5";"234.04"
"814646211D";"5";"234.96"
"6873127BD1";"5";"235.0"
"7749317AAE";"6";"235.96"
"7614758915";"8";"236.04"
"83297073AB";"5";"237.04"
"82716540D2";"6";"237.04"
"744417578A";"7";"237.04"
"8530533287";"5";"237.96"
"7256303AA8";"5";"238.0"
"88217301E5";"5";"238.0"
"7448112874";"5";"238.04"
"79267587A1";"5";"238.04"
"9191679D74";"5";"238.04"
"8464510E9C";"5";"238.96"
"910230755B";"5";"240.96"
"7336104887";"7";"241.96"
"8487834E2F";"5";"242.96"
"66497993BB";"6";"243.04"
"7204575B5C";"5";"244.0"
"7204582126";"5";"244.0"
"7204586472";"5";"244.0"
"717090847B";"6";"244.0"
"7995423FC5";"6";"244.0"
"9188138357";"5";"244.04"
"925615009F";"5";"244.04"
"663124547C";"5";"245.0"
"91271033AA";"5";"245.0"
"7609148392";"8";"245.0"
"72186656CD";"5";"246.0"
"76331713FA";"6";"246.0"
"91768364A2";"5";"246.04"
"8806060E96";"6";"246.04"
"6641134525";"7";"246.04"
"9124655F7F";"5";"246.96"
"7949654602";"5";"247.04"
"77417863E9";"5";"248.96"
"7303399B81";"6";"248.96"
"7550982378";"5";"249.04"
"8265124417";"5";"250.04"
"8265132AAF";"5";"250.04"
"8640535B0A";"5";"250.96"
"90411175C5";"5";"250.96"
"7630159E62";"5";"251.0"
"8951568B97";"5";"251.0"
"746770404B";"5";"251.04"
"7453263333";"6";"251.04"
"9038568E42";"5";"251.96"
"9038602A52";"5";"251.96"
"90401686A1";"5";"251.96"
"7239202A77";"5";"252.0"
"7936002406";"5";"252.0"
"9036352990";"5";"252.96"
"903658275E";"5";"252.96"
"7628676695";"5";"253.0"
"7872998B78";"5";"253.04"
"9237189182";"5";"253.04"
"72093954F5";"8";"254.0"
"8927839DCC";"6";"255.0"
"815214962B";"7";"255.96"
"70187339B1";"7";"256.0"
"8074562B58";"7";"256.0"
"7049369B51";"5";"256.04"
"7881393B3E";"9";"256.04"
"6697948989";"5";"257.04"
"7025521B53";"5";"257.04"
"70513237D0";"5";"257.04"
"8854227344";"5";"258.0"
"9171970515";"5";"258.04"
"8245298B26";"6";"258.04"
"9042728735";"6";"258.96"
"654440128D";"7";"258.96"
"76286587BA";"6";"259.0"
"7437106E02";"6";"259.04"
"8275646F1B";"7";"259.04"
"8702991F5B";"5";"260.04"
"8231269210";"7";"260.04"
"66672905C2";"14";"260.04"
"82094826DB";"5";"260.96"
"7782010DCB";"5";"262.0"
"66568183FE";"5";"262.04"
"75793082D3";"8";"262.04"
"7579320CB7";"8";"262.04"
"6632050CC8";"5";"263.0"
"7492190EC3";"5";"263.04"
