"case_id";"case_id_length";"duration_dd"
"6908203D72";"9";"391.0"
"72226710AA";"5";"392.0"
"88291404D1";"5";"392.0"
"8829186AC5";"5";"392.0"
"8961743845";"5";"392.0"
"83464192D9";"6";"392.0"
"7603072D7C";"8";"392.0"
"8249255C91";"7";"393.0"
"7603102640";"8";"393.0"
"7822215804";"6";"393.96"
"8698999112";"6";"394.0"
"76725547DA";"5";"395.0"
"7510645C50";"6";"396.0"
"74193018DD";"11";"396.0"
"70995730FB";"5";"397.0"
"686378810B";"5";"398.0"
"71555090D4";"5";"398.0"
"715551776C";"5";"398.0"
"7155519912";"5";"398.0"
"75257415EF";"5";"398.0"
"74723011DB";"6";"398.0"
"7909178C26";"6";"398.0"
"7238161F66";"5";"398.04"
"7002763ED3";"5";"398.96"
"6864634B2C";"5";"399.0"
"71978047C2";"5";"399.0"
"7580674A13";"5";"399.0"
"774054971A";"5";"399.0"
"8211506D1B";"5";"399.0"
"8266524767";"5";"400.0"
"80694733C7";"11";"401.0"
"66324284BA";"6";"403.0"
"7702065919";"6";"403.0"
"8855547490";"5";"404.0"
"7514815D81";"6";"404.0"
"7732901FC3";"5";"406.0"
"7507482A20";"7";"406.0"
"74351976A9";"8";"406.0"
"7652720851";"5";"406.04"
"8977321FA2";"5";"407.0"
"89773610A9";"5";"407.0"
"6975904A15";"5";"408.96"
"8224460F15";"6";"408.96"
"794348318B";"5";"409.0"
"7188389E3F";"6";"409.04"
"701139957D";"5";"409.96"
"7820922CFE";"5";"409.96"
"7473316774";"5";"410.0"
"8410930701";"5";"410.0"
"89842673AB";"5";"410.0"
"7701683DDB";"6";"410.0"
"810885245B";"5";"411.0"
"890582681A";"5";"411.04"
"6526374632";"7";"411.96"
"6754331A42";"5";"412.0"
"6755216497";"5";"412.0"
"7327356574";"5";"412.0"
"8861796965";"5";"412.0"
"7646131AE6";"8";"412.04"
"72724843A6";"5";"413.0"
"77499125B2";"5";"413.0"
"6942979784";"5";"414.0"
"8976701003";"5";"414.0"
"75508717DD";"7";"414.0"
"8093001BB0";"5";"415.0"
"7413445857";"6";"415.96"
"6498307C91";"5";"417.0"
"6858624B90";"5";"417.0"
"6858646DB7";"5";"417.0"
"6910452D61";"5";"417.0"
"7278928966";"7";"417.0"
"74944610DE";"5";"418.0"
"798214419C";"5";"418.0"
"72679641A1";"6";"419.0"
"7100151DF2";"5";"420.0"
"7430755502";"9";"420.0"
"77014849A4";"10";"420.0"
"7630971C78";"5";"420.04"
"8893734D76";"5";"420.04"
"86519127A4";"5";"420.96"
"6905058A1D";"10";"420.96"
"77498946D7";"5";"421.0"
"7771116FC7";"5";"421.0"
"8110049028";"5";"421.0"
"819098891F";"6";"421.96"
"84412346A8";"9";"422.04"
"8037440150";"5";"424.0"
"7218274424";"5";"424.04"
"73213243B1";"13";"426.0"
"68384367E7";"5";"426.04"
"65879650B4";"5";"426.96"
"82600053C2";"5";"426.96"
"8572461A99";"7";"427.0"
"7209915214";"5";"427.04"
"84450389D0";"5";"427.04"
"67099802AA";"5";"428.96"
"77204962D9";"5";"429.0"
"8068785C03";"5";"429.0"
"654613055D";"7";"429.0"
"7132638713";"13";"429.0"
"8602591AA9";"5";"429.96"
"7248867249";"5";"430.04"
"7253560312";"5";"430.04"
"7749884E94";"5";"431.0"
"7429694970";"5";"433.96"
"7721997981";"13";"434.0"
"87785153BF";"5";"435.04"
"7856353397";"5";"436.0"
"8054006800";"5";"436.04"
"82852726BE";"5";"437.0"
"8073883B04";"10";"437.0"
"6782990C69";"5";"437.04"
"7243213873";"5";"437.04"
"8949007A30";"5";"437.04"
"74274784BE";"5";"437.96"
"6709935D84";"7";"437.96"
"6709965648";"8";"437.96"
"714975761F";"6";"438.0"
"8669646235";"6";"440.0"
"7656496460";"5";"440.04"
"6907936120";"7";"441.0"
"6941899C44";"7";"441.96"
"7049933CBE";"9";"442.0"
"81569174D9";"8";"442.96"
"7847316206";"5";"443.96"
"6939849091";"5";"444.96"
"8259071100";"6";"444.96"
"82727698F0";"5";"445.0"
"7392818A66";"8";"445.0"
"6561106BF1";"8";"445.96"
"700920421F";"5";"446.96"
"804823097E";"7";"447.04"
"8720823ACB";"8";"448.0"
"76390653DC";"6";"449.04"
"7026302FD2";"5";"450.0"
