"case_id";"event_name";"event_timestamp";"tender_region";"tender_amount";"tender_type";"sector";"framework";"cpv";"duration_dd";"duration_partial_dd"
"6526374632";"REPRISE";"2017-05-08 00:00:00.000";"EMILIA ROMAGNA";"54072.0";"FORNITURE";"ORDINARI";"0";"34";"411.96";"409"
"6526374632";"CONTRACT-END";"2017-05-11 00:00:00.000";"EMILIA ROMAGNA";"54072.0";"FORNITURE";"ORDINARI";"0";"34";"411.96";"412"
"6532209564";"CREATION";"2016-01-04 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"0"
"6532209564";"AWARD";"2016-05-10 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"127"
"6532209564";"CONTRACT-START";"2016-06-30 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"178"
"6532209564";"SUBCONTRACT";"2016-09-21 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"261"
"6532209564";"STATUS";"2016-09-30 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"270"
"6532209564";"STATUS";"2016-12-31 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"362"
"6532209564";"STATUS";"2017-03-31 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"452"
"6532209564";"STATUS";"2017-06-30 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"543"
"6532209564";"STATUS";"2017-09-30 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"635"
"6532209564";"SUBCONTRACT";"2017-11-23 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"689"
"6532209564";"STATUS";"2017-12-31 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"727"
"6532209564";"STATUS";"2018-03-31 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"817"
"6532209564";"STATUS";"2018-06-30 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"908"
"6532209564";"STATUS";"2018-09-30 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"1000"
"6532209564";"STATUS";"2018-12-31 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"1092"
"6532209564";"STATUS";"2019-03-31 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"1182"
"6532209564";"VARIANT";"2019-06-25 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"1268"
"6532209564";"STATUS";"2019-06-30 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"1273"
"6532209564";"STATUS";"2019-09-30 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"1365"
"6532209564";"CONTRACT-END";"2019-10-31 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"1396"
"6532209564";"STATUS";"2019-10-31 00:00:00.000";"CENTRALE";"7531233.15";"FORNITURE";"ORDINARI";"0";"48";"1396.0";"1396"
"6540050BFB";"CREATION";"2016-01-13 00:00:00.000";"SARDEGNA";"81040.5";"FORNITURE";"ORDINARI";"0";"37";"546.96";"0"
"6540050BFB";"AWARD";"2016-06-16 00:00:00.000";"SARDEGNA";"81040.5";"FORNITURE";"ORDINARI";"0";"37";"546.96";"155"
"6540050BFB";"CONTRACT-START";"2016-06-16 00:00:00.000";"SARDEGNA";"81040.5";"FORNITURE";"ORDINARI";"0";"37";"546.96";"155"
"6540050BFB";"VARIANT";"2016-09-29 00:00:00.000";"SARDEGNA";"81040.5";"FORNITURE";"ORDINARI";"0";"37";"546.96";"260"
"6540050BFB";"CONTRACT-END";"2017-07-13 00:00:00.000";"SARDEGNA";"81040.5";"FORNITURE";"ORDINARI";"0";"37";"546.96";"547"
