Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,amount,type
6533365F57,STATUS,CENTRALE,2019-09-30 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,STATUS,CENTRALE,2020-01-02 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,VARIANT,CENTRALE,2020-04-27 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,STATUS,CENTRALE,2020-04-28 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
6533365F57,CONTRACT-END,CENTRALE,2020-06-30 00:00:00.000,Variant 140,140,61417550.0,SERVIZI
653414208F,CREATION,CAMPANIA,2016-03-21 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,AWARD,CAMPANIA,2016-11-21 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,CONTRACT-START,CAMPANIA,2017-05-23 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,STATUS,CAMPANIA,2017-06-09 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,STATUS,CAMPANIA,2017-08-30 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,STATUS,CAMPANIA,2017-10-23 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,STATUS,CAMPANIA,2018-01-23 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,STATUS,CAMPANIA,2018-05-02 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,STATUS,CAMPANIA,2018-07-18 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,STATUS,CAMPANIA,2018-10-16 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,STATUS,CAMPANIA,2019-01-30 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,STATUS,CAMPANIA,2019-04-29 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,STATUS,CAMPANIA,2019-07-26 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,STATUS,CAMPANIA,2019-11-11 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,VARIANT,CAMPANIA,2019-11-25 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,STATUS,CAMPANIA,2020-01-16 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,STATUS,CAMPANIA,2020-05-05 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,VARIANT,CAMPANIA,2020-09-16 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,STATUS,CAMPANIA,2020-10-27 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,STATUS,CAMPANIA,2021-03-03 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,CONTRACT-END,CAMPANIA,2021-04-30 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
653414208F,STATUS,CAMPANIA,2021-04-30 00:00:00.000,Variant 141,141,1512000.0,SERVIZI
654440128D,CREATION,PIEMONTE,2016-01-08 00:00:00.000,Variant 47,47,138550.55,SERVIZI
654440128D,AWARD,PIEMONTE,2016-02-10 00:00:00.000,Variant 47,47,138550.55,SERVIZI
654440128D,CONTRACT-START,PIEMONTE,2016-04-19 00:00:00.000,Variant 47,47,138550.55,SERVIZI
654440128D,STATUS,PIEMONTE,2016-04-19 00:00:00.000,Variant 47,47,138550.55,SERVIZI
654440128D,CONTRACT-END,PIEMONTE,2016-07-29 00:00:00.000,Variant 47,47,138550.55,SERVIZI
654440128D,STATUS,PIEMONTE,2016-07-29 00:00:00.000,Variant 47,47,138550.55,SERVIZI
654440128D,VARIANT,PIEMONTE,2016-09-23 00:00:00.000,Variant 47,47,138550.55,SERVIZI
6544660847,CREATION,VALLE D AOSTA,2016-01-08 00:00:00.000,Variant 142,142,85000.0,SERVIZI
6544660847,AWARD,VALLE D AOSTA,2016-03-18 00:00:00.000,Variant 142,142,85000.0,SERVIZI
6544660847,CONTRACT-START,VALLE D AOSTA,2016-04-19 00:00:00.000,Variant 142,142,85000.0,SERVIZI
6544660847,STATUS,VALLE D AOSTA,2016-04-30 00:00:00.000,Variant 142,142,85000.0,SERVIZI
6544660847,STATUS,VALLE D AOSTA,2016-06-30 00:00:00.000,Variant 142,142,85000.0,SERVIZI
6544660847,STATUS,VALLE D AOSTA,2016-10-31 00:00:00.000,Variant 142,142,85000.0,SERVIZI
