"case_id";"event_name";"event_timestamp";"tender_region";"tender_amount";"tender_type";"sector";"framework";"cpv";"duration_dd";"duration_partial_dd";"concept:name";"time:timestamp";"@@index";"@@case_index";"case:concept:name"
"7478105776";"CREATION";"2018-05-07 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"140000.0";"FORNITURE";"ORDINARI";"0";"33";"1156.0";"0";"CREATION";"2018-05-07 00:00:00+00:00";"5707";"881";"7478105776"
"7478895365";"CREATION";"2018-05-02 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"50000.0";"FORNITURE";"ORDINARI";"0";"33";"1139.0";"0";"CREATION";"2018-05-02 00:00:00+00:00";"5712";"882";"7478895365"
"7480208EE7";"CREATION";"2018-05-11 00:00:00+00:00";"CENTRALE";"210000.0";"FORNITURE";"ORDINARI";"0";"35";"257.04";"0";"CREATION";"2018-05-11 00:00:00+00:00";"5717";"883";"7480208EE7"
"74803872A2";"CREATION";"2018-06-05 00:00:00+00:00";"CENTRALE";"218393.0";"FORNITURE";"ORDINARI";"0";"39";"187.04";"0";"CREATION";"2018-06-05 00:00:00+00:00";"5722";"884";"74803872A2"
"74817653CB";"CREATION";"2018-05-10 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"95000.0";"FORNITURE";"ORDINARI";"0";"33";"1163.0";"0";"CREATION";"2018-05-10 00:00:00+00:00";"5730";"885";"74817653CB"
"748341121E";"CREATION";"2018-05-30 00:00:00+00:00";"LOMBARDIA";"161020.0";"FORNITURE";"ORDINARI";"0";"39";"181.04";"0";"CREATION";"2018-05-30 00:00:00+00:00";"5735";"886";"748341121E"
"74895078B0";"CREATION";"2018-05-14 00:00:00+00:00";"EMILIA ROMAGNA";"214867.2";"FORNITURE";"ORDINARI";"1";"33";"1539.0";"0";"CREATION";"2018-05-14 00:00:00+00:00";"5741";"887";"74895078B0"
"7489789169";"CREATION";"2018-05-16 00:00:00+00:00";"TOSCANA";"411750.0";"FORNITURE";"ORDINARI";"1";"33";"1415.0";"0";"CREATION";"2018-05-16 00:00:00+00:00";"5746";"888";"7489789169"
"74909829E5";"CREATION";"2018-05-02 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"100000.0";"FORNITURE";"ORDINARI";"0";"33";"224.04";"0";"CREATION";"2018-05-02 00:00:00+00:00";"5751";"889";"74909829E5"
"7492696058";"CREATION";"2018-05-16 00:00:00+00:00";"TOSCANA";"88000.0";"FORNITURE";"ORDINARI";"1";"33";"1415.0";"0";"CREATION";"2018-05-16 00:00:00+00:00";"5756";"890";"7492696058"
"7493626FC9";"CREATION";"2018-05-17 00:00:00+00:00";"CENTRALE";"1066619.83";"FORNITURE";"ORDINARI";"0";"19";"562.04";"0";"CREATION";"2018-05-17 00:00:00+00:00";"5761";"891";"7493626FC9"
"74944610DE";"CREATION";"2018-05-18 00:00:00+00:00";"CENTRALE";"115072.67";"FORNITURE";"ORDINARI";"0";"31";"418.0";"0";"CREATION";"2018-05-18 00:00:00+00:00";"5884";"892";"74944610DE"
"7495221409";"CREATION";"2018-07-09 00:00:00+00:00";"SICILIA";"31692.66";"FORNITURE";"ORDINARI";"0";"32";"305.0";"0";"CREATION";"2018-07-09 00:00:00+00:00";"5889";"893";"7495221409"
"74960407E4";"CREATION";"2018-05-10 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"120000.0";"FORNITURE";"ORDINARI";"0";"33";"1153.0";"0";"CREATION";"2018-05-10 00:00:00+00:00";"5894";"894";"74960407E4"
"7497150BE3";"CREATION";"2018-05-25 00:00:00+00:00";"PROVINCIA AUTONOMA DI BOLZANO";"140400.0";"FORNITURE";"ORDINARI";"0";"33";"510.0";"0";"CREATION";"2018-05-25 00:00:00+00:00";"5899";"895";"7497150BE3"
"75021856E8";"CREATION";"2018-07-13 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"495000.0";"FORNITURE";"ORDINARI";"0";"33";"1067.0";"0";"CREATION";"2018-07-13 00:00:00+00:00";"5904";"896";"75021856E8"
"750257049F";"CREATION";"2018-06-01 00:00:00+00:00";"LOMBARDIA";"65763.95";"FORNITURE";"ORDINARI";"0";"3";"760.0";"0";"CREATION";"2018-06-01 00:00:00+00:00";"5909";"897";"750257049F"
"750699041F";"CREATION";"2018-05-30 00:00:00+00:00";"LOMBARDIA";"210000.0";"FORNITURE";"ORDINARI";"0";"44";"797.0";"0";"CREATION";"2018-05-30 00:00:00+00:00";"5918";"898";"750699041F"
"7507482A20";"CREATION";"2018-05-29 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"84059.28";"FORNITURE";"ORDINARI";"0";"39";"406.0";"0";"CREATION";"2018-05-29 00:00:00+00:00";"5923";"899";"7507482A20"
"7507777D90";"CREATION";"2018-05-29 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"50000.0";"FORNITURE";"ORDINARI";"0";"33";"311.0";"0";"CREATION";"2018-05-29 00:00:00+00:00";"5930";"900";"7507777D90"
"7510645C50";"CREATION";"2018-05-30 00:00:00+00:00";"CENTRALE";"128000.0";"FORNITURE";"ORDINARI";"0";"50";"396.0";"0";"CREATION";"2018-05-30 00:00:00+00:00";"5935";"901";"7510645C50"
"7511673CA5";"CREATION";"2018-06-12 00:00:00+00:00";"PUGLIA";"2794845.0";"FORNITURE";"ORDINARI";"0";"45";"1346.04";"0";"CREATION";"2018-06-12 00:00:00+00:00";"5941";"902";"7511673CA5"
"751240698A";"CREATION";"2018-06-04 00:00:00+00:00";"EMILIA ROMAGNA";"210000.0";"FORNITURE";"ORDINARI";"0";"34";"1031.0";"0";"CREATION";"2018-06-04 00:00:00+00:00";"5951";"903";"751240698A"
"7514815D81";"CREATION";"2018-06-29 00:00:00+00:00";"LAZIO";"321171.16";"FORNITURE";"ORDINARI";"0";"44";"404.0";"0";"CREATION";"2018-06-29 00:00:00+00:00";"5957";"904";"7514815D81"
"7515942F88";"CREATION";"2018-06-07 00:00:00+00:00";"PROVINCIA AUTONOMA DI BOLZANO";"170000.0";"FORNITURE";"ORDINARI";"0";"22";"382.0";"0";"CREATION";"2018-06-07 00:00:00+00:00";"5963";"905";"7515942F88"
"7517839CFD";"CREATION";"2018-06-13 00:00:00+00:00";"SICILIA";"219300.0";"FORNITURE";"ORDINARI";"0";"85";"570.04";"0";"CREATION";"2018-06-13 00:00:00+00:00";"5968";"906";"7517839CFD"
"7519152884";"CREATION";"2018-06-11 00:00:00+00:00";"EMILIA ROMAGNA";"88000.0";"FORNITURE";"ORDINARI";"0";"33";"1177.0";"0";"CREATION";"2018-06-11 00:00:00+00:00";"5973";"907";"7519152884"
"7521923738";"CREATION";"2018-06-01 00:00:00+00:00";"VENETO";"74500.0";"FORNITURE";"ORDINARI";"0";"44";"1001.04";"0";"CREATION";"2018-06-01 00:00:00+00:00";"5979";"908";"7521923738"
"7522242E75";"CREATION";"2018-06-08 00:00:00+00:00";"CENTRALE";"220320.0";"FORNITURE";"ORDINARI";"0";"39";"215.04";"0";"CREATION";"2018-06-08 00:00:00+00:00";"5984";"909";"7522242E75"
"75257415EF";"CREATION";"2018-06-15 00:00:00+00:00";"CENTRALE";"170000.0";"FORNITURE";"ORDINARI";"0";"34";"398.0";"0";"CREATION";"2018-06-15 00:00:00+00:00";"5990";"910";"75257415EF"
"75266525B7";"CREATION";"2018-06-13 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"60000.0";"FORNITURE";"ORDINARI";"0";"33";"1101.0";"0";"CREATION";"2018-06-13 00:00:00+00:00";"5995";"911";"75266525B7"
"7526736B07";"CREATION";"2018-06-19 00:00:00+00:00";"CENTRALE";"71720.71";"FORNITURE";"ORDINARI";"0";"31";"154.04";"0";"CREATION";"2018-06-19 00:00:00+00:00";"6000";"912";"7526736B07"
"7528948C6D";"CREATION";"2018-06-13 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"120000.0";"FORNITURE";"ORDINARI";"0";"33";"1101.0";"0";"CREATION";"2018-06-13 00:00:00+00:00";"6005";"913";"7528948C6D"
"7530517B35";"CREATION";"2018-06-14 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"75000.0";"FORNITURE";"ORDINARI";"0";"33";"1133.0";"0";"CREATION";"2018-06-14 00:00:00+00:00";"6011";"914";"7530517B35"
"7530721390";"CREATION";"2018-06-25 00:00:00+00:00";"CAMPANIA";"268170.0";"FORNITURE";"ORDINARI";"0";"43";"979.04";"0";"CREATION";"2018-06-25 00:00:00+00:00";"6016";"915";"7530721390"
"7530792E24";"CREATION";"2018-06-14 00:00:00+00:00";"CENTRALE";"896198.81";"FORNITURE";"ORDINARI";"0";"18";"335.0";"0";"CREATION";"2018-06-14 00:00:00+00:00";"6021";"916";"7530792E24"
"7531210718";"CREATION";"2018-06-14 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"60000.0";"FORNITURE";"ORDINARI";"0";"33";"1114.0";"0";"CREATION";"2018-06-14 00:00:00+00:00";"6026";"917";"7531210718"
"753763090B";"CREATION";"2018-06-15 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"140000.0";"FORNITURE";"ORDINARI";"0";"33";"1096.0";"0";"CREATION";"2018-06-15 00:00:00+00:00";"6031";"918";"753763090B"
"75389190C5";"CREATION";"2018-06-22 00:00:00+00:00";"VENETO";"7920000.0";"FORNITURE";"ORDINARI";"0";"34";"923.04";"0";"CREATION";"2018-06-22 00:00:00+00:00";"6036";"919";"75389190C5"
"7539553BF3";"CREATION";"2018-06-18 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"140000.0";"FORNITURE";"ORDINARI";"0";"33";"1093.0";"0";"CREATION";"2018-06-18 00:00:00+00:00";"6052";"920";"7539553BF3"
"7539634ECA";"CREATION";"2018-07-06 00:00:00+00:00";"CENTRALE";"115000.0";"FORNITURE";"ORDINARI";"0";"31";"350.0";"0";"CREATION";"2018-07-06 00:00:00+00:00";"6057";"921";"7539634ECA"
"75508717DD";"CREATION";"2018-07-13 00:00:00+00:00";"MARCHE";"232259.0";"FORNITURE";"ORDINARI";"1";"65";"414.0";"0";"CREATION";"2018-07-13 00:00:00+00:00";"6062";"922";"75508717DD"
"7552407B68";"CREATION";"2018-07-25 00:00:00+00:00";"PROVINCIA AUTONOMA DI BOLZANO";"98700.0";"FORNITURE";"ORDINARI";"0";"48";"210.04";"0";"CREATION";"2018-07-25 00:00:00+00:00";"6069";"923";"7552407B68"
"755245208E";"CREATION";"2018-08-03 00:00:00+00:00";"PIEMONTE";"138455.0";"FORNITURE";"ORDINARI";"0";"30";"459.04";"0";"CREATION";"2018-08-03 00:00:00+00:00";"6074";"924";"755245208E"
"7553545685";"CREATION";"2018-07-10 00:00:00+00:00";"EMILIA ROMAGNA";"409450.0";"FORNITURE";"ORDINARI";"0";"32";"857.04";"0";"CREATION";"2018-07-10 00:00:00+00:00";"6079";"925";"7553545685"
"755454930D";"CREATION";"2018-08-21 00:00:00+00:00";"VENETO";"206310.0";"FORNITURE";"ORDINARI";"0";"30";"742.0";"0";"CREATION";"2018-08-21 00:00:00+00:00";"6096";"926";"755454930D"
"7556774F2A";"CREATION";"2018-07-04 00:00:00+00:00";"CENTRALE";"101977.85";"FORNITURE";"ORDINARI";"0";"32";"496.04";"0";"CREATION";"2018-07-04 00:00:00+00:00";"6101";"927";"7556774F2A"
"7556871F36";"CREATION";"2018-07-03 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"70000.0";"FORNITURE";"ORDINARI";"0";"33";"1080.0";"0";"CREATION";"2018-07-03 00:00:00+00:00";"6106";"928";"7556871F36"
"7559156CDB";"CREATION";"2018-08-23 00:00:00+00:00";"LAZIO";"210000.0";"FORNITURE";"ORDINARI";"0";"3";"495.04";"0";"CREATION";"2018-08-23 00:00:00+00:00";"6111";"929";"7559156CDB"
"7560024928";"CREATION";"2018-07-05 00:00:00+00:00";"LOMBARDIA";"47532.79";"FORNITURE";"ORDINARI";"1";"9";"483.04";"0";"CREATION";"2018-07-05 00:00:00+00:00";"6116";"930";"7560024928"
"75603305AE";"CREATION";"2018-07-05 00:00:00+00:00";"PROVINCIA AUTONOMA DI TRENTO";"252811.1";"FORNITURE";"ORDINARI";"0";"33";"1075.0";"0";"CREATION";"2018-07-05 00:00:00+00:00";"6123";"931";"75603305AE"
"7560515E56";"CREATION";"2018-09-24 00:00:00+00:00";"PIEMONTE";"88213.0";"FORNITURE";"ORDINARI";"0";"15";"584.0";"0";"CREATION";"2018-09-24 00:00:00+00:00";"6128";"932";"7560515E56"
"756271777E";"CREATION";"2018-07-17 00:00:00+00:00";"CENTRALE";"425120.15";"FORNITURE";"ORDINARI";"0";"39";"252.04";"0";"CREATION";"2018-07-17 00:00:00+00:00";"6137";"933";"756271777E"
"7563133EC7";"CREATION";"2018-07-17 00:00:00+00:00";"VENETO";"115400.0";"FORNITURE";"ORDINARI";"0";"31";"269.0";"0";"CREATION";"2018-07-17 00:00:00+00:00";"6142";"934";"7563133EC7"
