"case_id";"event_name";"event_timestamp";"tender_region";"tender_amount";"tender_type";"sector";"framework";"cpv";"duration_dd";"duration_partial_dd";"concept:name";"time:timestamp";"@@index";"@@case_index";"case:concept:name"
"6571406FC4";"CREATION";"2016-02-01 00:00:00+00:00";"CENTRALE";"100000.0";"SERVIZI";"ORDINARI";"0";"90";"1306.96";"0";"CREATION";"2016-02-01 00:00:00+00:00";"243";"32";"6571406FC4"
"6571768A81";"CREATION";"2016-03-04 00:00:00+00:00";"CENTRALE";"56000.0";"SERVIZI";"ORDINARI";"0";"50";"432.96";"0";"CREATION";"2016-03-04 00:00:00+00:00";"248";"33";"6571768A81"
"6577535198";"CREATION";"2016-04-13 00:00:00+00:00";"CENTRALE";"278239.0";"SERVIZI";"ORDINARI";"0";"90";"1305.04";"0";"CREATION";"2016-04-13 00:00:00+00:00";"253";"34";"6577535198"
"6577559565";"CREATION";"2016-04-13 00:00:00+00:00";"CENTRALE";"278239.0";"SERVIZI";"ORDINARI";"0";"90";"1305.04";"0";"CREATION";"2016-04-13 00:00:00+00:00";"259";"35";"6577559565"
"6577571F49";"CREATION";"2016-04-13 00:00:00+00:00";"CENTRALE";"301454.75";"SERVIZI";"ORDINARI";"0";"90";"1305.04";"0";"CREATION";"2016-04-13 00:00:00+00:00";"264";"36";"6577571F49"
"65775741C7";"CREATION";"2016-04-13 00:00:00+00:00";"CENTRALE";"324570.5";"SERVIZI";"ORDINARI";"0";"90";"1305.04";"0";"CREATION";"2016-04-13 00:00:00+00:00";"269";"37";"65775741C7"
"65775806B9";"CREATION";"2016-04-13 00:00:00+00:00";"CENTRALE";"370902.0";"SERVIZI";"ORDINARI";"0";"90";"1305.04";"0";"CREATION";"2016-04-13 00:00:00+00:00";"274";"38";"65775806B9"
"6577585AD8";"CREATION";"2016-04-13 00:00:00+00:00";"CENTRALE";"353050.75";"SERVIZI";"ORDINARI";"0";"90";"1305.04";"0";"CREATION";"2016-04-13 00:00:00+00:00";"279";"39";"6577585AD8"
"657760073A";"CREATION";"2016-04-13 00:00:00+00:00";"CENTRALE";"360820.75";"SERVIZI";"ORDINARI";"0";"90";"1305.04";"0";"CREATION";"2016-04-13 00:00:00+00:00";"284";"40";"657760073A"
"65776039B3";"CREATION";"2016-04-13 00:00:00+00:00";"CENTRALE";"360820.75";"SERVIZI";"ORDINARI";"0";"90";"1305.04";"0";"CREATION";"2016-04-13 00:00:00+00:00";"289";"41";"65776039B3"
