case_id;award;contract_end;contract_start;creation;publication_eu;publication_it;reprise;status;subcontract;suspension;testing;variant;tender_amount;framework;region_abruzzo;region_basilicata;region_calabria;region_campania;region_centrale;region_emilia_romagna;region_friuli_venezia_giulia;region_lazio;region_lombardia;region_marche;region_molise;region_non_classificato;region_piemonte;region_provincia_autonoma_di_bolzano;region_provincia_autonoma_di_trento;region_puglia;region_sardegna;region_sicilia;region_toscana;region_umbria;region_valle_daosta;region_veneto;sector_ordinari;sector_speciali;cpv_14;cpv_15;cpv_16;cpv_18;cpv_19;cpv_22;cpv_24;cpv_3;cpv_30;cpv_31;cpv_32;cpv_33;cpv_34;cpv_35;cpv_37;cpv_38;cpv_39;cpv_41;cpv_42;cpv_43;cpv_44;cpv_45;cpv_48;cpv_50;cpv_51;cpv_55;cpv_60;cpv_63;cpv_64;cpv_65;cpv_71;cpv_72;cpv_79;cpv_85;cpv_9;cpv_90;cpv_92;duration_partial_dd;label
6607861366;1;1;1;1;0;0;0;0;0;0;0;1;65056.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;262;262.04
66091180B6;1;1;1;1;0;0;0;0;0;0;0;1;243395.85;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;654;654.0
6609151BEE;1;1;1;1;0;0;0;0;0;0;0;1;40983.61;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;218.04
6609193E96;1;1;1;1;0;0;0;0;0;0;0;1;57737.06;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;654;654.0
661231709C;1;1;1;1;0;0;0;0;0;0;0;1;130504.3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;850;849.96
661679719F;1;0;1;1;0;0;1;1;0;1;0;1;808933.56;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1609;1882.96
661682156C;1;1;1;1;0;0;0;0;0;0;0;1;45000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;686;686.04
6616971136;1;1;1;1;0;0;0;0;0;0;0;1;123580.0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;330;330.0
661783495F;1;1;1;1;0;0;0;1;0;0;0;1;2609938.89;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;641;648.0
66184440C5;1;1;1;1;0;0;0;0;0;0;0;1;180000.0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;761;760.96
